attribute,Before filtering,After filtering,sample
Total Reads (millions),157.430532,151.70383,SRX6428488_shCTRL_ssDRIP_rep3
Total Bases (millions),23614.5798,21926.672016,SRX6428488_shCTRL_ssDRIP_rep3
Q20 Bases (millions),22489.26392,21140.834898,SRX6428488_shCTRL_ssDRIP_rep3
Q30 Bases (millions),21232.889605,20108.739972,SRX6428488_shCTRL_ssDRIP_rep3
Q20 Rate,0.952347,0.964161,SRX6428488_shCTRL_ssDRIP_rep3
Q30 Rate,0.899143,0.91709,SRX6428488_shCTRL_ssDRIP_rep3
Read1 Mean Length,150,144,SRX6428488_shCTRL_ssDRIP_rep3
Read2 Mean Length,150,144,SRX6428488_shCTRL_ssDRIP_rep3
GC Content,0.444769,0.440759,SRX6428488_shCTRL_ssDRIP_rep3
Total Reads (millions),176.132726,162.140868,SRX6428491_shMETTL3_ssDRIP_rep1
Total Bases (millions),26419.9089,23401.800654,SRX6428491_shMETTL3_ssDRIP_rep1
Q20 Bases (millions),24662.464366,22377.174505,SRX6428491_shMETTL3_ssDRIP_rep1
Q30 Bases (millions),23017.181359,21161.466639,SRX6428491_shMETTL3_ssDRIP_rep1
Q20 Rate,0.93348,0.956216,SRX6428491_shMETTL3_ssDRIP_rep1
Q30 Rate,0.871206,0.904267,SRX6428491_shMETTL3_ssDRIP_rep1
Read1 Mean Length,150,144,SRX6428491_shMETTL3_ssDRIP_rep1
Read2 Mean Length,150,144,SRX6428491_shMETTL3_ssDRIP_rep1
GC Content,0.445787,0.440648,SRX6428491_shMETTL3_ssDRIP_rep1
Total Reads (millions),149.581942,143.76835,SRX6428492_shMETTL3_ssDRIP_rep2
Total Bases (millions),22437.2913,20702.519134,SRX6428492_shMETTL3_ssDRIP_rep2
Q20 Bases (millions),21360.664392,19977.404224,SRX6428492_shMETTL3_ssDRIP_rep2
Q30 Bases (millions),20203.644225,19037.949681,SRX6428492_shMETTL3_ssDRIP_rep2
Q20 Rate,0.952016,0.964975,SRX6428492_shMETTL3_ssDRIP_rep2
Q30 Rate,0.900449,0.919596,SRX6428492_shMETTL3_ssDRIP_rep2
Read1 Mean Length,150,143,SRX6428492_shMETTL3_ssDRIP_rep2
Read2 Mean Length,150,143,SRX6428492_shMETTL3_ssDRIP_rep2
GC Content,0.441657,0.437173,SRX6428492_shMETTL3_ssDRIP_rep2
Total Reads (millions),155.97495,149.30614,SRX6428493_shMETTL3_ssDRIP_rep3
Total Bases (millions),23396.2425,21524.213644,SRX6428493_shMETTL3_ssDRIP_rep3
Q20 Bases (millions),22196.904547,20722.432246,SRX6428493_shMETTL3_ssDRIP_rep3
Q30 Bases (millions),20954.720465,19722.602186,SRX6428493_shMETTL3_ssDRIP_rep3
Q20 Rate,0.948738,0.96275,SRX6428493_shMETTL3_ssDRIP_rep3
Q30 Rate,0.895645,0.916298,SRX6428493_shMETTL3_ssDRIP_rep3
Read1 Mean Length,150,144,SRX6428493_shMETTL3_ssDRIP_rep3
Read2 Mean Length,150,144,SRX6428493_shMETTL3_ssDRIP_rep3
GC Content,0.439905,0.435622,SRX6428493_shMETTL3_ssDRIP_rep3
Total Reads (millions),156.086368,149.70833,SRX6428494_shCTRL_EV_ssDRIP_rep1
Total Bases (millions),23412.9552,21368.336506,SRX6428494_shCTRL_EV_ssDRIP_rep1
Q20 Bases (millions),22249.828524,20588.829845,SRX6428494_shCTRL_EV_ssDRIP_rep1
Q30 Bases (millions),20986.819874,19578.713169,SRX6428494_shCTRL_EV_ssDRIP_rep1
Q20 Rate,0.950321,0.96352,SRX6428494_shCTRL_EV_ssDRIP_rep1
Q30 Rate,0.896376,0.916249,SRX6428494_shCTRL_EV_ssDRIP_rep1
Read1 Mean Length,150,142,SRX6428494_shCTRL_EV_ssDRIP_rep1
Read2 Mean Length,150,142,SRX6428494_shCTRL_EV_ssDRIP_rep1
GC Content,0.452934,0.448475,SRX6428494_shCTRL_EV_ssDRIP_rep1
Total Reads (millions),155.732802,148.505328,SRX6428495_shCTRL_EV_ssDRIP_rep2
Total Bases (millions),23359.9203,21316.60235,SRX6428495_shCTRL_EV_ssDRIP_rep2
Q20 Bases (millions),22104.560266,20489.853479,SRX6428495_shCTRL_EV_ssDRIP_rep2
Q30 Bases (millions),20790.047261,19442.388076,SRX6428495_shCTRL_EV_ssDRIP_rep2
Q20 Rate,0.94626,0.961216,SRX6428495_shCTRL_EV_ssDRIP_rep2
Q30 Rate,0.889988,0.912077,SRX6428495_shCTRL_EV_ssDRIP_rep2
Read1 Mean Length,150,143,SRX6428495_shCTRL_EV_ssDRIP_rep2
Read2 Mean Length,150,143,SRX6428495_shCTRL_EV_ssDRIP_rep2
GC Content,0.453061,0.448418,SRX6428495_shCTRL_EV_ssDRIP_rep2
Total Reads (millions),159.030056,152.995662,SRX6428496_shMETTL3_EV_ssDRIP_rep1
Total Bases (millions),23854.5084,21972.770556,SRX6428496_shMETTL3_EV_ssDRIP_rep1
Q20 Bases (millions),22655.494269,21135.018607,SRX6428496_shMETTL3_EV_ssDRIP_rep1
Q30 Bases (millions),21353.565416,20073.356657,SRX6428496_shMETTL3_EV_ssDRIP_rep1
Q20 Rate,0.949736,0.961873,SRX6428496_shMETTL3_EV_ssDRIP_rep1
Q30 Rate,0.895158,0.913556,SRX6428496_shMETTL3_EV_ssDRIP_rep1
Read1 Mean Length,150,143,SRX6428496_shMETTL3_EV_ssDRIP_rep1
Read2 Mean Length,150,143,SRX6428496_shMETTL3_EV_ssDRIP_rep1
GC Content,0.447341,0.443072,SRX6428496_shMETTL3_EV_ssDRIP_rep1
Total Reads (millions),149.97589,143.772762,SRX6428497_shMETTL3_EV_ssDRIP_rep2
Total Bases (millions),22496.3835,20638.83759,SRX6428497_shMETTL3_EV_ssDRIP_rep2
Q20 Bases (millions),21319.938539,19837.731606,SRX6428497_shMETTL3_EV_ssDRIP_rep2
Q30 Bases (millions),20068.458228,18826.580015,SRX6428497_shMETTL3_EV_ssDRIP_rep2
Q20 Rate,0.947705,0.961185,SRX6428497_shMETTL3_EV_ssDRIP_rep2
Q30 Rate,0.892075,0.912192,SRX6428497_shMETTL3_EV_ssDRIP_rep2
Read1 Mean Length,150,143,SRX6428497_shMETTL3_EV_ssDRIP_rep2
Read2 Mean Length,150,143,SRX6428497_shMETTL3_EV_ssDRIP_rep2
GC Content,0.455433,0.451153,SRX6428497_shMETTL3_EV_ssDRIP_rep2
Total Reads (millions),154.899186,149.392308,SRX6428498_shMETTL3_mut_ssDRIP_rep1
Total Bases (millions),23234.8779,21592.40593,SRX6428498_shMETTL3_mut_ssDRIP_rep1
Q20 Bases (millions),22137.9654,20824.732148,SRX6428498_shMETTL3_mut_ssDRIP_rep1
Q30 Bases (millions),20995.209743,19880.726127,SRX6428498_shMETTL3_mut_ssDRIP_rep1
Q20 Rate,0.95279,0.964447,SRX6428498_shMETTL3_mut_ssDRIP_rep1
Q30 Rate,0.903607,0.920728,SRX6428498_shMETTL3_mut_ssDRIP_rep1
Read1 Mean Length,150,144,SRX6428498_shMETTL3_mut_ssDRIP_rep1
Read2 Mean Length,150,144,SRX6428498_shMETTL3_mut_ssDRIP_rep1
GC Content,0.450982,0.446742,SRX6428498_shMETTL3_mut_ssDRIP_rep1
Total Reads (millions),150.438444,145.097128,SRX6428499_shMETTL3_mut_ssDRIP_rep2
Total Bases (millions),22565.7666,20933.250628,SRX6428499_shMETTL3_mut_ssDRIP_rep2
Q20 Bases (millions),21521.023404,20208.307225,SRX6428499_shMETTL3_mut_ssDRIP_rep2
Q30 Bases (millions),20442.304037,19321.987885,SRX6428499_shMETTL3_mut_ssDRIP_rep2
Q20 Rate,0.953702,0.965369,SRX6428499_shMETTL3_mut_ssDRIP_rep2
Q30 Rate,0.905899,0.923029,SRX6428499_shMETTL3_mut_ssDRIP_rep2
Read1 Mean Length,150,144,SRX6428499_shMETTL3_mut_ssDRIP_rep2
Read2 Mean Length,150,144,SRX6428499_shMETTL3_mut_ssDRIP_rep2
GC Content,0.449203,0.445043,SRX6428499_shMETTL3_mut_ssDRIP_rep2
Total Reads (millions),164.317568,158.60764,SRX6428500_shMETTL3_WT_ssDRIP_rep1
Total Bases (millions),24647.6352,23080.992254,SRX6428500_shMETTL3_WT_ssDRIP_rep1
Q20 Bases (millions),23512.555703000002,22268.157307,SRX6428500_shMETTL3_WT_ssDRIP_rep1
Q30 Bases (millions),22295.594951,21250.721557,SRX6428500_shMETTL3_WT_ssDRIP_rep1
Q20 Rate,0.953948,0.964783,SRX6428500_shMETTL3_WT_ssDRIP_rep1
Q30 Rate,0.904573,0.920702,SRX6428500_shMETTL3_WT_ssDRIP_rep1
Read1 Mean Length,150,145,SRX6428500_shMETTL3_WT_ssDRIP_rep1
Read2 Mean Length,150,145,SRX6428500_shMETTL3_WT_ssDRIP_rep1
GC Content,0.448848,0.445625,SRX6428500_shMETTL3_WT_ssDRIP_rep1
Total Reads (millions),162.132842,156.296204,SRX6428501_shMETTL3_WT_ssDRIP_rep2
Total Bases (millions),24319.9263,22642.933866,SRX6428501_shMETTL3_WT_ssDRIP_rep2
Q20 Bases (millions),23203.579746,21865.68526,SRX6428501_shMETTL3_WT_ssDRIP_rep2
Q30 Bases (millions),22028.223591,20896.339134,SRX6428501_shMETTL3_WT_ssDRIP_rep2
Q20 Rate,0.954097,0.965674,SRX6428501_shMETTL3_WT_ssDRIP_rep2
Q30 Rate,0.905769,0.922864,SRX6428501_shMETTL3_WT_ssDRIP_rep2
Read1 Mean Length,150,144,SRX6428501_shMETTL3_WT_ssDRIP_rep2
Read2 Mean Length,150,144,SRX6428501_shMETTL3_WT_ssDRIP_rep2
GC Content,0.452891,0.449119,SRX6428501_shMETTL3_WT_ssDRIP_rep2
Total Reads (millions),25.130981,23.946362,SRX6651643_SX014C_U87_DRIP-seq_WT_rep1
Total Bases (millions),1256.54905,1197.3181,SRX6651643_SX014C_U87_DRIP-seq_WT_rep1
Q20 Bases (millions),1184.627724,1171.648599,SRX6651643_SX014C_U87_DRIP-seq_WT_rep1
Q30 Bases (millions),1135.227301,1127.060384,SRX6651643_SX014C_U87_DRIP-seq_WT_rep1
Q20 Rate,0.942763,0.978561,SRX6651643_SX014C_U87_DRIP-seq_WT_rep1
Q30 Rate,0.903448,0.941321,SRX6651643_SX014C_U87_DRIP-seq_WT_rep1
Read1 Mean Length,50,50,SRX6651643_SX014C_U87_DRIP-seq_WT_rep1
GC Content,0.478147,0.476736,SRX6651643_SX014C_U87_DRIP-seq_WT_rep1
Total Reads (millions),37.688136,35.563345,SRX6651644_SX014D_U87_DRIP-seq_WT_rep2
Total Bases (millions),1884.4068,1778.16725,SRX6651644_SX014D_U87_DRIP-seq_WT_rep2
Q20 Bases (millions),1758.417035,1737.366029,SRX6651644_SX014D_U87_DRIP-seq_WT_rep2
Q30 Bases (millions),1680.142475,1666.995558,SRX6651644_SX014D_U87_DRIP-seq_WT_rep2
Q20 Rate,0.933141,0.977054,SRX6651644_SX014D_U87_DRIP-seq_WT_rep2
Q30 Rate,0.891603,0.93748,SRX6651644_SX014D_U87_DRIP-seq_WT_rep2
Read1 Mean Length,50,50,SRX6651644_SX014D_U87_DRIP-seq_WT_rep2
GC Content,0.482212,0.480199,SRX6651644_SX014D_U87_DRIP-seq_WT_rep2
Total Reads (millions),28.534693999999998,27.285663,SRX6651645_SX014E_U87DRIP-seq_Setx_KD_rep1
Total Bases (millions),1426.7347,1364.28315,SRX6651645_SX014E_U87DRIP-seq_Setx_KD_rep1
Q20 Bases (millions),1350.222587,1336.241044,SRX6651645_SX014E_U87DRIP-seq_Setx_KD_rep1
Q30 Bases (millions),1295.868746,1287.014757,SRX6651645_SX014E_U87DRIP-seq_Setx_KD_rep1
Q20 Rate,0.946373,0.979446,SRX6651645_SX014E_U87DRIP-seq_Setx_KD_rep1
Q30 Rate,0.908276,0.943363,SRX6651645_SX014E_U87DRIP-seq_Setx_KD_rep1
Read1 Mean Length,50,50,SRX6651645_SX014E_U87DRIP-seq_Setx_KD_rep1
GC Content,0.470944,0.469614,SRX6651645_SX014E_U87DRIP-seq_Setx_KD_rep1
Total Reads (millions),19.813407,18.862501,SRX6651646_SX014F_U87_DRIP-seq_Setx_KD_rep2
Total Bases (millions),990.67035,943.12505,SRX6651646_SX014F_U87_DRIP-seq_Setx_KD_rep2
Q20 Bases (millions),932.535899,922.039935,SRX6651646_SX014F_U87_DRIP-seq_Setx_KD_rep2
Q30 Bases (millions),891.852768,885.293633,SRX6651646_SX014F_U87_DRIP-seq_Setx_KD_rep2
Q20 Rate,0.941318,0.977643,SRX6651646_SX014F_U87_DRIP-seq_Setx_KD_rep2
Q30 Rate,0.900252,0.938681,SRX6651646_SX014F_U87_DRIP-seq_Setx_KD_rep2
Read1 Mean Length,50,50,SRX6651646_SX014F_U87_DRIP-seq_Setx_KD_rep2
GC Content,0.484295,0.482889,SRX6651646_SX014F_U87_DRIP-seq_Setx_KD_rep2
Total Reads (millions),90.626422,67.679408,SRX6686232_DRIPc_seq_siC_1
Total Bases (millions),6821.045117,5092.793892,SRX6686232_DRIPc_seq_siC_1
Q20 Bases (millions),5896.851079,4835.875361,SRX6686232_DRIPc_seq_siC_1
Q30 Bases (millions),5695.483814,4728.139205,SRX6686232_DRIPc_seq_siC_1
Q20 Rate,0.864508,0.949553,SRX6686232_DRIPc_seq_siC_1
Q30 Rate,0.834987,0.928398,SRX6686232_DRIPc_seq_siC_1
Read1 Mean Length,75,75,SRX6686232_DRIPc_seq_siC_1
Read2 Mean Length,75,75,SRX6686232_DRIPc_seq_siC_1
GC Content,0.573085,0.565069,SRX6686232_DRIPc_seq_siC_1
Total Reads (millions),167.717458,157.471554,SRX6686233_DRIPc_seq_siUAP56_1
Total Bases (millions),12630.687155,11852.470671,SRX6686233_DRIPc_seq_siUAP56_1
Q20 Bases (millions),11747.301659,11261.448915,SRX6686233_DRIPc_seq_siUAP56_1
Q30 Bases (millions),11445.575845,11003.607476,SRX6686233_DRIPc_seq_siUAP56_1
Q20 Rate,0.93006,0.950135,SRX6686233_DRIPc_seq_siUAP56_1
Q30 Rate,0.906172,0.928381,SRX6686233_DRIPc_seq_siUAP56_1
Read1 Mean Length,75,75,SRX6686233_DRIPc_seq_siUAP56_1
Read2 Mean Length,75,75,SRX6686233_DRIPc_seq_siUAP56_1
GC Content,0.553584,0.552742,SRX6686233_DRIPc_seq_siUAP56_1
Total Reads (millions),113.727314,109.501896,SRX6686234_DRIPc_seq_siC_2
Total Bases (millions),8549.716264,8232.500731,SRX6686234_DRIPc_seq_siC_2
Q20 Bases (millions),8080.512565,7881.282655,SRX6686234_DRIPc_seq_siC_2
Q30 Bases (millions),7910.414768,7728.998121,SRX6686234_DRIPc_seq_siC_2
Q20 Rate,0.945121,0.957338,SRX6686234_DRIPc_seq_siC_2
Q30 Rate,0.925225,0.93884,SRX6686234_DRIPc_seq_siC_2
Read1 Mean Length,75,75,SRX6686234_DRIPc_seq_siC_2
Read2 Mean Length,75,75,SRX6686234_DRIPc_seq_siC_2
GC Content,0.552889,0.554197,SRX6686234_DRIPc_seq_siC_2
Total Reads (millions),158.089794,148.730154,SRX6686235_DRIPc_seq_siUAP56_2
Total Bases (millions),11914.904355,11197.843939,SRX6686235_DRIPc_seq_siUAP56_2
Q20 Bases (millions),11167.342567,10715.514856,SRX6686235_DRIPc_seq_siUAP56_2
Q30 Bases (millions),10908.198822,10496.002401,SRX6686235_DRIPc_seq_siUAP56_2
Q20 Rate,0.937258,0.956927,SRX6686235_DRIPc_seq_siUAP56_2
Q30 Rate,0.915509,0.937324,SRX6686235_DRIPc_seq_siUAP56_2
Read1 Mean Length,75,75,SRX6686235_DRIPc_seq_siUAP56_2
Read2 Mean Length,75,75,SRX6686235_DRIPc_seq_siUAP56_2
GC Content,0.521945,0.521607,SRX6686235_DRIPc_seq_siUAP56_2
Total Reads (millions),19.079604,18.50766,SRX6686236_DRIP_seq_siC_untreated
Total Bases (millions),1426.328017,1375.993211,SRX6686236_DRIP_seq_siC_untreated
Q20 Bases (millions),1340.471135,1307.139835,SRX6686236_DRIP_seq_siC_untreated
Q30 Bases (millions),1308.062261,1277.74494,SRX6686236_DRIP_seq_siC_untreated
Q20 Rate,0.939806,0.94996100000000006,SRX6686236_DRIP_seq_siC_untreated
Q30 Rate,0.917084,0.928598,SRX6686236_DRIP_seq_siC_untreated
Read1 Mean Length,74,74,SRX6686236_DRIP_seq_siC_untreated
Read2 Mean Length,74,74,SRX6686236_DRIP_seq_siC_untreated
GC Content,0.419866,0.419133,SRX6686236_DRIP_seq_siC_untreated
Total Reads (millions),108.300839,105.684063,SRX6779957_Replicate1_RDIP_pRNH1-GFP
Total Bases (millions),9157.125619,8923.336914,SRX6779957_Replicate1_RDIP_pRNH1-GFP
Q20 Bases (millions),8337.578676,8197.432714,SRX6779957_Replicate1_RDIP_pRNH1-GFP
Q30 Bases (millions),7941.762665,7819.256391,SRX6779957_Replicate1_RDIP_pRNH1-GFP
Q20 Rate,0.910502,0.918651,SRX6779957_Replicate1_RDIP_pRNH1-GFP
Q30 Rate,0.867277,0.87627,SRX6779957_Replicate1_RDIP_pRNH1-GFP
Read1 Mean Length,84,84,SRX6779957_Replicate1_RDIP_pRNH1-GFP
GC Content,0.761711,0.763103,SRX6779957_Replicate1_RDIP_pRNH1-GFP
Total Reads (millions),93.524791,91.675153,SRX6779959_Replicate2_RDIP_pRNH1-GFP
Total Bases (millions),7907.330699,7750.997355,SRX6779959_Replicate2_RDIP_pRNH1-GFP
Q20 Bases (millions),7235.826576,7152.531081,SRX6779959_Replicate2_RDIP_pRNH1-GFP
Q30 Bases (millions),6908.656693,6838.105779,SRX6779959_Replicate2_RDIP_pRNH1-GFP
Q20 Rate,0.915078,0.922788,SRX6779959_Replicate2_RDIP_pRNH1-GFP
Q30 Rate,0.873703,0.882223,SRX6779959_Replicate2_RDIP_pRNH1-GFP
Read1 Mean Length,84,84,SRX6779959_Replicate2_RDIP_pRNH1-GFP
GC Content,0.75341,0.753329,SRX6779959_Replicate2_RDIP_pRNH1-GFP
Total Reads (millions),40.209188,39.193668,SRX7299431_DMSO-R-ChIP
Total Bases (millions),6031.3782,5660.468518,SRX7299431_DMSO-R-ChIP
Q20 Bases (millions),5829.722257,5517.707032,SRX7299431_DMSO-R-ChIP
Q30 Bases (millions),5566.465183,5296.57753,SRX7299431_DMSO-R-ChIP
Q20 Rate,0.966566,0.974779,SRX7299431_DMSO-R-ChIP
Q30 Rate,0.922918,0.935714,SRX7299431_DMSO-R-ChIP
Read1 Mean Length,150,144,SRX7299431_DMSO-R-ChIP
Read2 Mean Length,150,144,SRX7299431_DMSO-R-ChIP
GC Content,0.412265,0.407482,SRX7299431_DMSO-R-ChIP
Total Reads (millions),46.53972,45.338788,SRX7299435_dBET6-R-ChIP
Total Bases (millions),6980.958,6525.643898,SRX7299435_dBET6-R-ChIP
Q20 Bases (millions),6746.111387,6361.049611,SRX7299435_dBET6-R-ChIP
Q30 Bases (millions),6440.900373,6106.227431,SRX7299435_dBET6-R-ChIP
Q20 Rate,0.966359,0.974777,SRX7299435_dBET6-R-ChIP
Q30 Rate,0.922638,0.935728,SRX7299435_dBET6-R-ChIP
Read1 Mean Length,150,143,SRX7299435_dBET6-R-ChIP
Read2 Mean Length,150,143,SRX7299435_dBET6-R-ChIP
GC Content,0.413449,0.408254,SRX7299435_dBET6-R-ChIP
Total Reads (millions),49.98588,48.969302,SRX7583977_untreated_qDRIP-seq
Total Bases (millions),5048.57388,4940.55001,SRX7583977_untreated_qDRIP-seq
Q20 Bases (millions),4930.335186,4849.693503,SRX7583977_untreated_qDRIP-seq
Q30 Bases (millions),4782.598125,4718.041594,SRX7583977_untreated_qDRIP-seq
Q20 Rate,0.97658,0.98161,SRX7583977_untreated_qDRIP-seq
Q30 Rate,0.947317,0.954963,SRX7583977_untreated_qDRIP-seq
Read1 Mean Length,101,100,SRX7583977_untreated_qDRIP-seq
Read2 Mean Length,101,100,SRX7583977_untreated_qDRIP-seq
GC Content,0.41121,0.41116,SRX7583977_untreated_qDRIP-seq
Total Reads (millions),54.350266,52.960634,SRX7583979_untreated_qDRIP-seq_and_standard_RH
Total Bases (millions),5489.376866,5340.0747,SRX7583979_untreated_qDRIP-seq_and_standard_RH
Q20 Bases (millions),5337.152671,5226.060053,SRX7583979_untreated_qDRIP-seq_and_standard_RH
Q30 Bases (millions),5154.486923,5065.349535,SRX7583979_untreated_qDRIP-seq_and_standard_RH
Q20 Rate,0.972269,0.978649,SRX7583979_untreated_qDRIP-seq_and_standard_RH
Q30 Rate,0.938993,0.948554,SRX7583979_untreated_qDRIP-seq_and_standard_RH
Read1 Mean Length,101,100,SRX7583979_untreated_qDRIP-seq_and_standard_RH
Read2 Mean Length,101,100,SRX7583979_untreated_qDRIP-seq_and_standard_RH
GC Content,0.41696,0.417183,SRX7583979_untreated_qDRIP-seq_and_standard_RH
Total Reads (millions),60.193008,58.656058,SRX7583980_untreated_qDRIP-seq_and_high_RH
Total Bases (millions),6079.493808,5914.95027,SRX7583980_untreated_qDRIP-seq_and_high_RH
Q20 Bases (millions),5907.529778,5785.486956,SRX7583980_untreated_qDRIP-seq_and_high_RH
Q30 Bases (millions),5701.505828,5604.171408,SRX7583980_untreated_qDRIP-seq_and_high_RH
Q20 Rate,0.971714,0.978113,SRX7583980_untreated_qDRIP-seq_and_high_RH
Q30 Rate,0.937826,0.947459,SRX7583980_untreated_qDRIP-seq_and_high_RH
Read1 Mean Length,101,100,SRX7583980_untreated_qDRIP-seq_and_high_RH
Read2 Mean Length,101,100,SRX7583980_untreated_qDRIP-seq_and_high_RH
GC Content,0.415922,0.416095,SRX7583980_untreated_qDRIP-seq_and_high_RH
Total Reads (millions),89.140746,85.889076,SRX7583981_siGL3_qDRIP-seq_HeLa_and_S2_1
Total Bases (millions),6774.696696,6518.42757,SRX7583981_siGL3_qDRIP-seq_HeLa_and_S2_1
Q20 Bases (millions),6533.678713,6351.389599,SRX7583981_siGL3_qDRIP-seq_HeLa_and_S2_1
Q30 Bases (millions),6282.963176,6141.895773,SRX7583981_siGL3_qDRIP-seq_HeLa_and_S2_1
Q20 Rate,0.964424,0.974374,SRX7583981_siGL3_qDRIP-seq_HeLa_and_S2_1
Q30 Rate,0.927416,0.942236,SRX7583981_siGL3_qDRIP-seq_HeLa_and_S2_1
Read1 Mean Length,76,75,SRX7583981_siGL3_qDRIP-seq_HeLa_and_S2_1
Read2 Mean Length,76,75,SRX7583981_siGL3_qDRIP-seq_HeLa_and_S2_1
GC Content,0.414858,0.414587,SRX7583981_siGL3_qDRIP-seq_HeLa_and_S2_1
Total Reads (millions),83.783784,80.397258,SRX7583982_siGL3_qDRIP-seq_HeLa_and_S2_2
Total Bases (millions),6367.567584,6103.017622,SRX7583982_siGL3_qDRIP-seq_HeLa_and_S2_2
Q20 Bases (millions),6112.396821,5925.611607,SRX7583982_siGL3_qDRIP-seq_HeLa_and_S2_2
Q30 Bases (millions),5839.1783589999995,5695.524578,SRX7583982_siGL3_qDRIP-seq_HeLa_and_S2_2
Q20 Rate,0.959926,0.970931,SRX7583982_siGL3_qDRIP-seq_HeLa_and_S2_2
Q30 Rate,0.917019,0.933231,SRX7583982_siGL3_qDRIP-seq_HeLa_and_S2_2
Read1 Mean Length,76,75,SRX7583982_siGL3_qDRIP-seq_HeLa_and_S2_2
Read2 Mean Length,76,75,SRX7583982_siGL3_qDRIP-seq_HeLa_and_S2_2
GC Content,0.412534,0.412657,SRX7583982_siGL3_qDRIP-seq_HeLa_and_S2_2
Total Reads (millions),25720,24152,SRX7671349_RDIPseq_RNAseH1oe
Total Bases (millions),1.071529,1.00625,SRX7671349_RDIPseq_RNAseH1oe
Q20 Bases (millions),986516,945444,SRX7671349_RDIPseq_RNAseH1oe
Q30 Bases (millions),962026,924817,SRX7671349_RDIPseq_RNAseH1oe
Q20 Rate,0.920662,0.939572,SRX7671349_RDIPseq_RNAseH1oe
Q30 Rate,0.897807,0.919073,SRX7671349_RDIPseq_RNAseH1oe
Read1 Mean Length,41,41,SRX7671349_RDIPseq_RNAseH1oe
Read2 Mean Length,41,41,SRX7671349_RDIPseq_RNAseH1oe
GC Content,0.742413,0.751736,SRX7671349_RDIPseq_RNAseH1oe
Total Reads (millions),166.774284,154.320866,SRX7805791_ssDRIP_sequencing_of_hVECs_ssDRIP-EC_rep1
Total Bases (millions),25016.1426,21715.271432,SRX7805791_ssDRIP_sequencing_of_hVECs_ssDRIP-EC_rep1
Q20 Bases (millions),23162.196788,20669.975725,SRX7805791_ssDRIP_sequencing_of_hVECs_ssDRIP-EC_rep1
Q30 Bases (millions),21460.979948,19450.856111,SRX7805791_ssDRIP_sequencing_of_hVECs_ssDRIP-EC_rep1
Q20 Rate,0.92589,0.951864,SRX7805791_ssDRIP_sequencing_of_hVECs_ssDRIP-EC_rep1
Q30 Rate,0.857885,0.895722,SRX7805791_ssDRIP_sequencing_of_hVECs_ssDRIP-EC_rep1
Read1 Mean Length,150,140,SRX7805791_ssDRIP_sequencing_of_hVECs_ssDRIP-EC_rep1
Read2 Mean Length,150,140,SRX7805791_ssDRIP_sequencing_of_hVECs_ssDRIP-EC_rep1
GC Content,0.441561,0.432144,SRX7805791_ssDRIP_sequencing_of_hVECs_ssDRIP-EC_rep1
Total Reads (millions),149.153246,138.23581,SRX7805792_ssDRIP_sequencing_of_hVECs_ssDRIP-EC_rep2
Total Bases (millions),22372.9869,19512.24414,SRX7805792_ssDRIP_sequencing_of_hVECs_ssDRIP-EC_rep2
Q20 Bases (millions),20708.268791,18552.086393,SRX7805792_ssDRIP_sequencing_of_hVECs_ssDRIP-EC_rep2
Q30 Bases (millions),19143.550053,17415.65189,SRX7805792_ssDRIP_sequencing_of_hVECs_ssDRIP-EC_rep2
Q20 Rate,0.925592,0.950792,SRX7805792_ssDRIP_sequencing_of_hVECs_ssDRIP-EC_rep2
Q30 Rate,0.855655,0.89255,SRX7805792_ssDRIP_sequencing_of_hVECs_ssDRIP-EC_rep2
Read1 Mean Length,150,141,SRX7805792_ssDRIP_sequencing_of_hVECs_ssDRIP-EC_rep2
Read2 Mean Length,150,141,SRX7805792_ssDRIP_sequencing_of_hVECs_ssDRIP-EC_rep2
GC Content,0.44127,0.432426,SRX7805792_ssDRIP_sequencing_of_hVECs_ssDRIP-EC_rep2
Total Reads (millions),189.077302,183.678972,SRX7805793_ssDRIP_sequencing_of_hESCs_ssDRIP-ESC_batch2_rep1
Total Bases (millions),28361.5953,26647.563784,SRX7805793_ssDRIP_sequencing_of_hESCs_ssDRIP-ESC_batch2_rep1
Q20 Bases (millions),27075.470645,25699.505222,SRX7805793_ssDRIP_sequencing_of_hESCs_ssDRIP-ESC_batch2_rep1
Q30 Bases (millions),25671.402939,24496.342844,SRX7805793_ssDRIP_sequencing_of_hESCs_ssDRIP-ESC_batch2_rep1
Q20 Rate,0.954653,0.964422,SRX7805793_ssDRIP_sequencing_of_hESCs_ssDRIP-ESC_batch2_rep1
Q30 Rate,0.905147,0.919271,SRX7805793_ssDRIP_sequencing_of_hESCs_ssDRIP-ESC_batch2_rep1
Read1 Mean Length,150,145,SRX7805793_ssDRIP_sequencing_of_hESCs_ssDRIP-ESC_batch2_rep1
Read2 Mean Length,150,145,SRX7805793_ssDRIP_sequencing_of_hESCs_ssDRIP-ESC_batch2_rep1
GC Content,0.41556,0.411049,SRX7805793_ssDRIP_sequencing_of_hESCs_ssDRIP-ESC_batch2_rep1
Total Reads (millions),180.246052,175.992426,SRX7805794_ssDRIP_sequencing_of_hESCs_ssDRIP-ESC_batch2_rep2
Total Bases (millions),27036.9078,25794.331242,SRX7805794_ssDRIP_sequencing_of_hESCs_ssDRIP-ESC_batch2_rep2
